log10_fc_hz,pm_target_deg,log10_icp_a,log10_n,log10_kvco_hz,worst_phase_margin_deg,log10_worst_lock_time_s,worst_jitter_peaking_db
5.981990063478289876e+00,6.033175598000681106e+01,-2.463441557428470041e+00,1.833093426538700887e+00,7.740362689494244108e+00,5.833154757149404190e+01,-5.722496991989533655e+00,2.236352016132218790e+00
7.316234537866423970e+00,6.337681059469420575e+01,-1.903089986991943539e+00,1.675034779926535933e+00,7.301029995663981254e+00,6.141784966282466485e+01,-7.018938241193159122e+00,1.991714264553914093e+00
5.118516587279595242e+00,5.824138616074860408e+01,-2.358525889495900252e+00,2.800417752744791766e+00,7.602059991327962507e+00,5.623359736378867524e+01,-4.883257879062147033e+00,2.414146981499549316e+00
6.737959954855790912e+00,5.056718052994146007e+01,-3.026872146400301222e+00,1.672846545827666676e+00,7.740362689494244108e+00,4.865414896149135870e+01,-6.427553240221103081e+00,3.160802069379593071e+00
7.016764360343018758e+00,5.538462778703134859e+01,-3.028028723600243666e+00,2.019589686353678637e+00,7.301029995663981254e+00,5.339126147620490315e+01,-6.812221582279270216e+00,2.673022116185223673e+00
7.054664495981869621e+00,5.626148190669540838e+01,-2.659555885159881505e+00,1.732387730448985641e+00,7.740362689494244108e+00,5.426081262307036468e+01,-6.841246449833826127e+00,2.591331783736614103e+00
6.782383600086281383e+00,5.313385806189315019e+01,-2.425968732272281159e+00,1.781064252608530296e+00,7.740362689494244108e+00,5.117001130424137045e+01,-6.601052206242775888e+00,2.891987335854180774e+00
7.443277590447501701e+00,4.894487991772675173e+01,-2.505149978319905824e+00,1.779474732093576872e+00,7.301029995663981254e+00,4.707229171740112861e+01,-7.127792838887231142e+00,3.342554423761241011e+00
6.483809843808676199e+00,4.979047501320403057e+01,-2.504455662453551668e+00,1.976752119517214634e+00,7.740362689494244108e+00,4.789605678652944221e+01,-6.170230493648312553e+00,3.246682157973976413e+00
5.497988059799391536e+00,6.081610369133494487e+01,-2.328827157284916627e+00,2.465889470401189776e+00,7.602059991327962507e+00,5.881999374152951532e+01,-5.232524204044993077e+00,2.196321901000377608e+00
6.556732455392062064e+00,4.840292651364151055e+01,-2.028028723600243666e+00,1.953619356383316852e+00,7.301029995663981254e+00,4.654514756133369247e+01,-6.241231121814079685e+00,3.405679742428586287e+00
6.970103823375492169e+00,4.130053252661024032e+01,-2.726998727936262412e+00,1.778987483712770157e+00,7.301029995663981254e+00,3.968494120029640726e+01,-6.673540506055328336e+00,4.355809195206689743e+00
7.057488848970800532e+00,4.746740332047306765e+01,-2.425968732272281159e+00,1.755862640834977340e+00,7.301029995663981254e+00,4.563661335524619744e+01,-6.742714059298691609e+00,3.517168059981954364e+00
6.402637530640769903e+00,4.263738198925573641e+01,-2.463441557428470041e+00,2.167008819724343116e+00,7.740362689494244108e+00,4.097048729371510944e+01,-6.101052890185806987e+00,4.157265842751502127e+00
